name,level,school,casting_time,range,components,duration,classes,source,description
Fall of the Titans,6,Evocation,1 action,120 ft,"V, S",Instantaneous,"Sorcerer, Wizard",Oath of the Gatewatch,"Choose two creatures that you can see within range that are within 40 feet of each other. A gout of scorching flame bursts from each of your palms, racing toward the targets. Make a ranged spell attack against each target, dealing 8d6 fire damage on a hit. If you or an ally already cast a spell since the start of the previous turn, this spell deals 12d6 fire damage on a hit instead.
 At Higher Levels. When you cast this spell using a spell slot of 7th level or higher, it deals an additional 2d6 damage for each slot level above 6th.
 "
Didn't Say Please,3,Abjuration,"1 reaction, taken when you see a creature within 30 feet of you casting a spell",30 ft,"V, S",Instantaneous,"Sorcerer, Warlock, Wizard",Throne of Eldraine,"You attempt to interrupt a creature in the process of casting a spell. If the creature is casting a spell of 2nd level or lower, the spell fails and has no effect. If the creature is casting a spell of 3rd level or higher, make an ability check using your spellcasting ability. The DC equals 10 + the spell's level. On a success, the creature's spell fails and has no effect, and it must make the Charisma saving throw or be unable to speak.If a creature's spell is countered in this way, it must succeed on a Charisma saving throw or be unable to speak for 1 minute. The target can repeat this saving throw at the end of each of its turns, ending the effect on a successful save.
 At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, the interrupted spell has no effect if its level is less than or equal to one level lower than the level of the spell slot you used."
Giant Stomp,4,Transmutation,1 bonus action,Self,"V, M (a pinch of bonemeal and a large rock)",Instantaneous,"Druid, Sorcerer",Throne of Eldraine,"Your muscles and bones stretch and swell, temporarily increasing your size by one category. You then strike out, attempting to crush a creature within 5 feet of you that is at least one size smaller with your oversized hand or foot. The target takes 2d10 bludgeoning damage and must succeed on a Strength saving throw or be knocked prone. You then revert to your previous size.
 At Higher Levels. When you cast this spell using a spell slot of 5th level or higher, the damage increases by 1d10 for each slot level above 4th. If you cast this spell using a spell slot of 6th level or higher, your size instead increases by two categories, allowing you to crush larger creatures."
Swift End,3,Necromancy,"1 reaction, taken when you become the target of a melee attack",Self,"S, M (a weapon)",Instantaneous,"Cleric, Paladin, Sorcerer, Wizard",Throne of Eldraine,"As your foe's weapon swings towards you, you strain your muscles, empowering them with necromantic energy in the hopes of striking before their blow can land. As part of the reaction used to cast this spell, you must make a melee attack with a weapon against your attacker, otherwise the spell fails. On a hit, the attack deals an additional die of damage, and the target must succeed on a Constitution saving throw or be stunned until the start of your next turn. If the target becomes stunned in this way, it's attack against you automatically fails. If the attack misses, you instead take 2d10 necrotic damage, and the attack against you continues as normal."
Turn into a Pumpkin,5,Transmutation,1 action,30 ft,"V, S, M (a piece of a pumpkin, such as a seed or stem)","Concentration, up to 10 mins.","Bard, Druid, Sorcerer, Warlock, Wizard",Throne of Eldraine,"Tendrils of green vines begin to sprout from one creature or nonmagical object of your choice that you can see within range, as it slowly turns a deep shade of orange. If the target is an unwilling creature, it must make a Wisdom saving throw to avoid the effect. The spell has no effect on a shapechanger or a target with 0 hit points. If the target fails the saving throw or the target is an object, it is transformed into a pumpkin. The transformation lasts for the duration, or if the target is a creature, until the target is reduced to 0 hit points or killed. While in the form of a pumpkin, the target has AC 5, 10 hit points, and is incapacitated and entirely unaware of its surroundings. When it reverts to its normal form, the target returns to the number of hit points it had before it transformed. If the target is a creature and it reverts as a result of dropping to 0 hit points, any excess damage carries over to its normal form. As long as the excess damage doesn't reduce the creature's normal form to 0 hit points, it isn't knocked unconscious. If the target is an object and it is reduced to 0 hit points while transformed, it is destroyed and remains in the form of a pumpkin indefinitely. If the target is a creature, its gear melds into its new form. The creature can't activate, wield, or otherwise benefit from any of its equipment.
 Adamant. When you cast this spell, if you cast it as a Wizard spell, you also gain one Food Die, which is a d8. You can use an action on your turn to spend one or more Food Dice. For each Food Die spent in this way, you roll the die and regain a number of hit points equal to the result.
 "
Act on Impulse,4,Evocation,1 action,Self,"V, S, M (three rubies, each worth 50 gp, consumed in the casting)",Instantaneous,"Bard, Sorcerer",Magic 2015,"When you cast this spell, choose up to three 1st-level spells that you know. The chosen spells must have a casting time of 1 action or 1 bonus action. As part of the action of casting this spell, you can then cast those three spells, in the order of your choice. When you cast these spells, you must still expend spell slots as normal, and can only cast them at 1st level.
 At Higher Levels. If you cast this spell using a spell slot of 7th level or higher, the chosen spells can be of either 1st or 2nd level.
 "
Adamant Will,2,Conjuration,1 bonus action,15 ft,"V, S",1 round,"Bard, Cleric, Warlock",Dominaria,"Your magic coalesces into a exceptionally-crafted, shining shield, which appears in an unoccupied space of your choice within range. The shield is ephemeral, and can't be affected physically in any way. For the spell's duration, whenever an allied creature within 15 feet of the shield takes damage, that damage is reduced by 1d4. If at any time during the spell's duration an allied creature within 15 feet of the shield would be reduced to 0 hit points, that creature can use it's reaction to expend the shield's magic, causing their hit points to instead become an amount equal to the maximum possible die roll of the shield, and causing the shield to disappear, ending the spell.
 At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, the damage prevented by the shield increases to 1d6; at 6th level or higher it becomes 1d8; and at 8th level it becomes 1d10."
Adventurous Impulse,1,Enchantment,1 action,60 ft,S,"Concentration, up to 1 min.","Bard, Sorcerer, Wizard",Dominaria,"As you cast this spell, choose a creature you can see within range, and a point you can see within range. A shimmering field of magical force appears, enclosing the chosen point in a 20-foot radius. The target creature must make a Charisma saving throw. On a failed save, the target can't willingly cross the exterior boundary of the barrier. If the target is inside of the barrier, it must use its movement on each of its turns to move away from the origin of the spell's effect, until it is on the outside of the barrier. If an affected creature starts its turn inside the radius of the barrier, or within 5 feet of the barrier's exterior, it can repeat the saving throw, ending the effect on itself on a success.
 At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, the number of creatures you can choose to be affected increases by one for each slot level above 1st."
Ancient Animus,2,Necromancy,1 bonus action,60 ft,"V, M (the bark of a yew tree)",Instantaneous,"Cleric, Druid",Dominaria,Choose both an allied creature and a hostile creature that you can see within range and that are no more than 30 feet from each other. The allied creature gains a number of temporary hit points equal to your spellcasting modifier. Then both targets take psychic damage equal to 1d8 + the other target's Strength modifier.
Arbor Armament,1,Conjuration,1 bonus action,30 ft,"V, S, M (an arrow crafted from oak wood)",1 round,"Druid, Ranger",Dominaria,"As you cast this spell, choose a weapon that you can see within range. The target weapon begins to shift and warp as wood and bark quickly grow over it, transforming the weapon in a magical longbow. The range for attack rolls made with this weapon is 600 feet, and attacks made with the longbow ignore cover and do not have disadvantage as a result of distance. In addition, all attacks made with the longbow deal an additional 1d4 piercing damage.
 At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, the range of attacks made with the longbow increases by 25 feet and the additional piercing damage increases by 1d4 for each slot level above 1st."
Arcane Flight,1,Transmutation,1 action,Touch,S,1 hour,"Bard, Druid, Ranger, Sorcerer, Warlock, Wizard",Dominaria,"Your touch transforms an otherwise ordinary animal into a magical one, causing them to sprout glowing wings and take flight. This spells grants one Beast that you touch a flying speed for the duration equal to its movement speed.
 At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, the duration increases by 1 hour for each slot level above 1st."
Befuddle,3,Enchantment,1 bonus action,10 ft,"S, M (a puzzle or riddle, written on parchment)","Concentration, up to 1 min.","Sorcerer, Warlock, Wizard",Dominaria,"When you cast this spell, choose a creature that you are aware of within range. The target must make an Intelligence saving throw. On a failed save, bands of magical energy appear around the target's wrists and neck, causing them to be restrained for the duration of the spell. A restrained creature can repeat the saving throw at the start of each of its turns, freeing themselves and ending the spell on a success. For as long as the target remains restrained, you have advantage on Intelligence saving throws and all Intelligence-based ability checks, and can use an action on your turn to automatically learn one piece of information which the target has knowledge of, related to a topic of your choice. The DM determines the exact nature of the information learned in this way."
Blessed Light,5,Transmutation,1 action (ritual),Touch,"V, S",1 min.,"Cleric, Druid, Paladin, Ranger",Dominaria,"Your touch imbues a single weapon with the power to fight otherworldly forces of all kinds. If the touched weapon was not magical, it becomes magical for the duration. In addition, the touched weapon deals an additional 2d6 necrotic or radiant damage, your choice, on all attacks made with it during the spell's duration. Attacks made with this weapon against aberrations, celestials, elementals, fey, fiends, or undead ignore damage resistance, and deal an additional 1d6 damage of the chosen type. If an attack made with the weapon against one of these types of creatures is a critical hit, the target of the attack must succeed on a Charisma saving throw against your spell save DC or automatically be transported to its plane of origin if it is not already there. If you cast this spell as a ritual, the duration instead becomes 1 hour."
Blessing of Belzenlok,1,Necromancy,1 reaction,60 ft,"V, S",Instantaneous,"Paladin, Wizard",Dominaria,"You can use your reaction to cast this spell when your or a creature you can see in range makes a melee weapon attack, suffusing the weapon with negative energy. If the attack hits, it deals an additional 2d4 necrotic damage, and the attacking creature automatically takes 1d4 necrotic damage.
 oo
 At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, both the additional damage and the damage to the attacking creature increase by 1d4 for each slot level above 1st. If you cast this spell using a spell slot of 5th level or higher, the attacking creature takes no damage, and instead regains hit points equal to the necrotic damage dealt."
Blink of an Eye,2,Conjuration,1 bonus action,Self,"V, S, M (an eyeball)","Concentration, up to 1 min.",Wizard,Dominaria,"When you finish casting this spell you fade from existence, as your body becomes an physical, corporeal void in space that is filled with a teeming swarm of eyeballs. For the spell's duration, you can see through the swarm of eyeballs, with darkvision to a range of 60 feet and a 360-degree field of vision. During this time you are immune to bludgeoning, piercing, and slashing from all nonmagical attacks, and have advantage on all Wisdom (Perception) checks related to sight. Until the spell ends, your speed becomes 0, and the only action you can take is to cast cantrips. If you lose concentration on the spell as a result of taking damage, you are automatically blinded for 1 minute after the spell ends.
 Kicker. When you cast this spell using a spell slot of 4th level or higher, you also gain the ability to cast spells from the Divination or Illusion spell schools while under the effects of the spell."
Board the Weatherlight,3,Divination,1 action (ritual),Self,"V, S, M (an item over 100 years old worth 100 gp, consumed in the casting)",Instantaneous,Wizard,Dominaria,"After you finish casting this spell roll 5d20. For every 20 rolled in this way, you gain one history point. You can use an action on your turn and expend a history point in order to cast any spell of 1st level or lower from the spell list of any class. Casting the chosen spell still requires all components listed in the spell's requirements. All unused history points disappear at the end of your next short or long rest.
 At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, you can roll an additional d20 for each slot level above 3rd."
Broken Bond,2,Evocation,1 action,Touch,"V, S",Instantaneous,"Bard, Druid, Warlock",Dominaria,"With your touch, you attempt to end the harmful effects of one spell currently affecting a creature in range. When you cast this spell, choose one spell currently affecting the target that was not cast by you or an ally. If the spell is of 1st level or lower, it's effect on the target automatically ends. If the spell is of 2nd level or higher, make an ability check using your spellcasting ability with a DC equal to 10 + the spell's level, on a success ending the spell's effect on the target. If the spell's effect is successfully ended, you automatically regain an expended spell slot of your lowest available level.
 At Higher Levels. When you cast this spell using a spell slot of 3rd level or higher, the spell's effects automatically end if its level is less than the level of the spell slot you used."
Call the Cavalry,4,Conjuration,1 action,Self,"V, S, M (a longsword)","Concentration, up to 1 min.","Cleric, Paladin, Ranger",Dominaria,"This spell summons two otherworldly knights, decked in plate armor and with blades drawn, ready for battle. The summoned knights appear to be celestial, fey, or fiendish in origin, your choice. The knights are immune to all damage, can not be targeted by spells or attacks, and follow you closely, never leaving your space. You can use a bonus action on your turn to command one of the knights to make an attack against a creature you can see within 5 feet. When a knight attacks a creature, make a melee spell attack, which deals 3d8 force damage on a hit. Once a knight has successfully hit a creature with an attack, it fades from existence. While any of the knights remain, you can use your reaction whenever you become the target of an attack to cause all of the remaining knights to step forward and protect your from harm, granting you a bonus to AC against the triggering attack equal to the number of knights remaining. After doing so, whether the attack hits or not, one of the knights fades from existence. When the last knight disappears, the spell automatically ends.
 At Higher Levels. When you cast this spell using a spell slot of 5th level or higher, you summon one additional knight for each slot level above 4th."
Cast Down,3,Enchantment,1 reaction,120 ft,"V, S, M (skin from a corpse)",Instantaneous,Warlock,Dominaria,"You can use your reaction to cast this spell whenever a creature fails its saving throw against a spell cast by you. The presence of your magic tears at the target's mind, filling their consciousness with insidious, unbearable horrors. The target must make an Intelligence saving throw. On a failed save the target takes 6d6 psychic damage and is stunned until the end of its next turn. On a success, the target takes half as much damage and is not stunned.
 At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, the damage increases by 1d6 for each slot level above 5th."
Chainer's Torment,6,Necromancy,1 action,Self,"V, M (a length of spiked chain)",Special,"Bard, Druid, Sorcerer, Warlock, Wizard",Dominaria,"The shadowy horrors filling your mind leap from it to manifest in the real world, creating a black fog filled with terrifying shapes that surrounds you in a 30-foot radius. After you cast this spell, each creature in the fog's radius other than yourself must make a Wisdom saving throw, taking 4d10 psychic damage on a failed save, or half as much on a success. You then regain a number of hit points equal to half the damage dealt. At the beginning of your next turn this process repeats. Then, at the start of your third turn after casting the spell, you automatically lose a number of hit points equal to half your hit point maximum, and the black fog coalesces into a shadowy horror with a form chosen by you. The horror appears in an unoccupied space of your choice that you can see within 30 feet. For the next minute, you can use a bonus action on each of your turns to mentally command the horror to move up to 30 feet and make an attack against a creature within 10 feet. When the horror attacks a creature, it makes a melee spell attack against the target using your spell attack bonus, dealing 4d10 psychic damage on a hit. If the horror is more than 30 feet from you at the end of your turn, or if you are knocked unconscious or use a bonus action to dismiss it, the horror disappears and the spell ends."
Chandra's Outburst,9,Evocation,1 action,Self,"V, S",1 min.,Sorcerer,Dominaria,"As you cast this spell, you feel intense anger welling up inside of you, pure and uncontrollable. When you finish casting the spell the anger you feel suddenly explodes outwards in a manifestation of fire and flames, scorching everything in a 60-foot radius around yourself. Each creature in the radius of the flames must make a Dexterity saving throw, taking 14d6 fire damage on a failed save or half as much on a successful one. Flammable objects in the radius not being worn or carried ignite and begin to burn. The flames remain, leaping and dancing around you, and for the spell's duration you can use a bonus action on each of your turns to force one creature you can see within 60 feet to make a Dexterity saving throw, taking 4d6 fire damage on a failed save or half as much on a successful one. Damage from the flames caused by this spell ignores damage resistance."
Charge,1,Transmutation,1 action,Self,V,Instantaneous,"Bard, Paladin, Ranger, Sorcerer, Wizard",Dominaria,"With a wild yell you rush forward, moving up to 30 feet in a straight line without provoking opportunity attacks. At any point during this movement, you can make a single melee weapon attack with advantage, dealing an additional die of damage if the attack hits."
Curator's Ward,4,Abjuration,1 action (ritual),Touch,"V, S, M (a polished mirror)",1 minute,"Bard, Wizard",Dominaria,"You touch a single object no more than 10 cubic feet in size, enveloping it in a translucent sphere. The sphere is invisible to the naked eye, but can be seen using detect magic, truesight, or some other form of seeing magical effects. For the spell's duration the object in the sphere is immune to all magical damage, can not be destroyed through magical means, and can not become tarnished, rusted, or corroded.
 At Higher Levels. When you cast this spell using a spell slot of 5th level, the duration increases to 1 hour. When using a spell slot of 6th or 7th level, the duration becomes 24 hours. When using a spell slot of 8th level, the duration becomes a year and a day. When using a spell slot of 9th level or higher, the effect becomes permanent until dispelled."
Dark Bargain,4,Divination,1 reaction,Self,"V, S",Instantaneous,"Bard, Cleric, Warlock, Wizard",Dominaria,"Whenever you make a saving throw or ability check that you have advantage on, you can use your reaction to cast this spell. When you do so you attempt to call on higher powers for greater assistance, though at a steep cost. Instead of rolling twice, you can instead roll three times and take the highest result. After rolling, whether you succeed or fail, you automatically take 2d6 psychic damage as the power of these other forces temporarily overwhelms you."
Deep Freeze,3,Evocation,1 action,15 ft,"S, M (a cup of water)","Concentration, up to 1 min.","Druid, Sorcerer, Wizard",Dominaria,"This spell causes the temperature around one creature you can see in range to drop sharply, and the water in the air around them begins to freeze, clinging to their body. The target must make a Constitution saving throw, ending the spell on a success save and on a failed save suffering several effects for the spell's duration. The target's speed becomes 0, it takes 2d8 cold damage at the start of each of its turns, and all attacks the target makes or that are made against it have disadvantage. Any time a creature within 5 feet of the target hits it with a melee attack, the attacking creature automatically takes 2d8 cold damage. In addition, the target can only take an action or bonus action each turn, not both. If the target takes fire damage or another creature uses its action to free the target from the ice surrounding it, the spell automatically ends. Any creature that frees the target from the ice automatically takes 2d8 cold damage."
Deharme's Knightly Dub,3,Enchantment,1 action (ritual),Touch,"V, S, M (a magical weapon or a sign of office)",Instantaneous,"Cleric, Druid, Paladin, Wizard",Dominaria,"Your touch bestows upon a creature grace, poise, a sense of purpose, and strength of mind, beknighting it into the service of a greater cause. The target has advantage on all Wisdom saving throws made to resist being charmed or frightened, as well as advantage on all Charisma (Persuasion) and Charisma (Intimidation) checks. In addition, the target's weapon attacks deal an additional die of damage against any charmed or frightened creature. These benefits remain until the end of the target's next long rest, or until the target becomes charmed or frightened, or is reduced to 0 hit points."
Demonic Vigor,1,Transmutation,1 action,Touch,"V, S, M (the flesh of a fiend)","Concentration, up to 1 min.","Cleric, Paladin",Dominaria,"This spell infuses the touched creature with a small amount of infernal energy, energizing and renewing it beyond mortal limits. For the spell's duration, the target's melee weapon attacks deal an additional amount of necrotic damage equal to your spellcasting modifier. In addition, if the target is reduced to 0 hit points at any time during the duration of the spell, it automatically regains 1 hit point and the spell ends."
Divest,1,Necromancy,1 action,30 ft,"V, S",1 round,"Bard, Sorcerer, Wizard",Dominaria,"You reach out with your mind to touch that of a creature you can see within range, attempting to scramble their thoughts and slow their thinking. The target must make an Intelligence saving throw, on a failed save becoming unable to activate and losing any benefits from any magic item that requires attunement, and being unable to cast spells from the conjuration school. These effects last until the start of your next turn."
Evisceration of Min,4,Transmutation,1 action,Self,"V, S, M (the tooth of an ogre)",Instantaneous,Warlock,Dominaria,"When you cast this spell, one of your arms becomes blackened and charred, before splitting into a number of stiff, but flexible tendrils, each tipped with a wickedly sharp point. Make a melee spell attack using the tendrils against up to two creatures that you can see within 60 feet. On a hit, a target creature takes 3d8 piercing and 3d8 necrotic damage. If this damage reduces a creature to 0 hit points, the target immediately dies and you regain hit points equal to half the damage dealt to that creature.
 At Higher Levels. When you cast this spell using a spell slot of 5th level or higher, you can make an attack against one additional creature for each slot level above 4th."
Fall of the Thran,9,Enchantment,1 action,Self,"V, M (a piece of moon rock)",Special,"Bard, Sorcerer, Wizard",Dominaria,"After casting this spell you are cloaked in a brilliant, blindingly bright light, as the air fills with magic that seems to freeze the entire world. Yourself and each creature within 300 feet of you when you cast this spell is incapacitated and can't move. Then, beginning with you and going in initiative order, each creature affected by the spell takes three turns. Creatures affected by the spell which have not yet had a chance to take these turns are still incapacitated and unable to move until they do so."
Fervent Strike,1,Evocation,1 bonus action,60 ft,"V, S, M (a weapon with the thrown property)",Instantaneous,"Bard, Paladin, Ranger, Sorcerer",Dominaria,"As part of the bonus action used to cast this spell, you must make a ranged attack with a thrown weapon against one creature within the spell's range, otherwise the spell fails. The thrown weapon catches fire mid air, and on a hit, the target suffers the attack's normal effects plus an additional 1d6 fire damage. The flames then leap to each creature within 5 feet of the original target, dealing an amount of fire damage to each of those creatures equal to your spellcasting modifier.
 At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, both the fire damage from the ranged attack and the fire damage to the additional creatures increases by 1d6 for each slot level above 1st."
Fiery Gauntlet,2,Evocation,1 action,Self,"V, S, M (a pair of scarlet gloves)",1 min.,"Druid, Ranger, Sorcerer, Wizard",Dominaria,"You cloak your hands in burning flames, capable of searing the flesh of your foes while leaving your own untouched. You can use an action on each of your turns for the spell's duration to make a melee spell attack with the flames, dealing 2d10 fire damage on a hit. In addition, any creature you grapple during the spell's duration automatically takes 1d10 fire damage at the start of each of its turns it remains grappled by you. At any time during the spell's duration, you can use an action to launch the flames from your hand, making a ranged spell attack against a creature within 30 feet and dealing 4d10 fire damage on a hit. After doing so, the spell ends.
 At Higher Levels. When you cast this spell using a spell slot of 3rd level or higher, the damage for all attacks made with the flames and the damage dealt to creatures you grapple both increase by 1d10 for each slot level above 2nd."
Fiery Intervention,5,Evocation,1 action,60 ft,"V, S",Instantaneous,"Sorcerer, Wizard",Dominaria,"You launch a whirling ball of fire through the air, making a ranged spell attack against a target. If the target is a construct, you have advantage on this attack. On a hit, the target takes 6d10 fire damage, or twice as much if it is a construct.
 At Higher Levels. When you cast this spell using a spell slot of 6th level or higher, the damage increases by 1d10 for each slot level above 5th."
Fight with Fire,3,Evocation,1 action,90 ft,"V, S",Instantaneous,"Bard, Sorcerer, Wizard",Dominaria,"When you cast this spell, you cause fire to well up from the ground beneath the feet of one creature that you can see in range, creating a pillar of flame that rises 30 feet into the air. Any creature caught in the flames must make a Dexterity saving throw, taking 5d10 fire damage on a failed save, or half as much on a success.
 Kicker. When you cast this spell using a spell slot of 9th level, you can summon fire from beneath any number of creatures you can see in range, and the damage increases to 10d10 and the height of the flames increases to 60 feet."
Final Parting,7,Necromancy,1 action,120 ft,"V, S, M (a glove made from 500 gp worth of spun silk)",1 round,"Cleric, Warlock, Wizard",Dominaria,"When you cast this spell, you inextricably bind the fates of two creatures that you can see in range, but only for a brief moment. If either of the chosen creatures is reduced to 0 hit points before the end of your next turn, both targets must make a Charisma saving throw. If the creature reduced to 0 hit points fails this saving throw, it dies immediately, and on a successful save it instead automatically fails its first death saving throw. If the creature not reduced to 0 hit points fails its saving throw, it dies automatically if it has less than 100 hit points, otherwise it takes 10d8 psychic damage. On a successful save, nothing happens to the target."
Find Assistant,2,Conjuration,1 hr (ritual),10 ft,"V, S, M (50 gp worth of scrap metal, consumed in the casting)",Instantaneous,Wizard,Dominaria,"When you finish casting this spell, the scrap metal used as the material component shapes itself into an assistant for you, taking the form of any creature of your choice with a CR of (1/8) or lower, and assembling itself in an unoccupied space of your choice within range. The created assistant has the statistics of the chosen from, except that it is a construct instead of its normal type, it is immune to exhaustion, and can not cast spells or make attacks if it would normally be able to do so. The assistant moves and acts independently of you, rolling initiative and taking its own turns, but it always obeys any commands given to it by you. While you are within 100 feet of the assistant, you can telepathically communicate with it, commanding it on your turn, no action required by you. The assistant understands any languages you know but can't speak, though it can telepathically communicate simple ideas and feelings to you on its turn. While the assistant can't make normal attacks, it can take the Dash, Disengage, Dodge, Help, or Hide actions when commanded to. If the assistant is reduced to 0 hit points it automatically breaks, crumbling into scrap metal not suitable for reuse. As a ritual which takes 10 minutes to perform, you can imprint onto the assistant the abilities of one magic item which requires charges to function. To do so, you, the assistant, and the magic item must remain within 10 feet of each other for the duration of the ritual, and you must be attuned to the magic item if it requires attunement to function. An assistant can be imprinted with the abilities of only one magic item at a time, though you can spend another 10 minutes to perform the ritual again with another magic item to change the abilities imprinted on the assistant. Once per day, you can use a bonus action on your turn to command the assistant to use one of the abilities imprinted upon it, as if it were a magic item of that type. The assistant uses the ability immediately, on your turn, and you choose any targets for the effect as normal. If the effect requires an attack roll or saving throw, the assistant uses your own spell attack bonus and saving throw DC instead of that of the imprinted item."
Frenzied Rage,2,Enchantment,1 action,Touch,"V, S","Concentration, up to 1 min.","Bard, Cleric, Druid",Dominaria,"You fill yourself with an intense fury, drawn from the deepest pits of your psyche, then infuse that rage into a willing creature that you touch. For the duration of the spell, all of the touched creature's melee weapon attacks deal an additional amount of fire damage equal to 1d6 + your spellcasting ability modifier. In addition, the target can take a bonus action on each of its turns to make a single melee weapon attack. Once the spell ends, the target must succeed on a Constitution saving throw or automatically suffer one level of exhaustion.
 At Higher Levels. When you cast this spell using a spell slot of 3rd level or higher, the additional fire damage increases by 1d6 for each slot level above 2nd. Additionally, when you cast this spell using a spell slot of 5th level or higher, the target can use a bonus action to make two melee weapon attacks, and suffers two levels of exhaustion if it fails the Constitution saving throw. When you cast this spell at 9th level, the number of attacks the target can make with a bonus action and the levels of exhaustion it suffers on a failed save both increase to three."
Fungal Infection,1,Transmutation,1 action,5 ft,"V, M (a dried mushroom and a weapon)",Instantaneous,"Druid, Ranger",Dominaria,"As part of the action used to cast this spell, you must make a melee attack with a weapon against one creature within the spell's range, otherwise the spell fails. On a hit, you transfer a parasitic fungus to the target, dealing an additional 1d6 necrotic damage and reducing the target's maximum hit points by an amount equal to the necrotic damage dealt. If the necrotic damage reduces the target to 0 hit points, it automatically dies. If a creature dies as a result of this attack, the fungus immediately spreads throughout their body, consuming it and transforming into a saproling under your control. The DM has the statistics for the saproling, except that it has a number of temporary hit points equal to the necrotic damage dealt by the spell. The saproling acts at the end of your turn, and you can use a bonus action on your turn to verbally command it. Unless you command it, the saproling defends itself from harm but takes no other action.
 At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, the necrotic damage increases by 1d6 for each slot level above 1st."
Fungal Plots,3,Conjuration,1 action,Self,"S, M (fresh mulch or soil, consumed in the casting)","Concentration, up to 1 min.",Druid,Dominaria,"When you finish casting this spell you scatter the mulch and soil onto the ground around you, and a saproling quickly grows from the dirt, appearing in a random unoccupied space within 10 feet of you. The saproling acts at the end of your turn, and obeys verbal commands that you issue to it (no action required by you). If you do not issue any commands to the saproling, it moves to follow you and acts to defend both you and itself against threats but otherwise takes no action. Until the spell ends, you can use an action to magically consume the saproling, killing it and regaining a number of hit points equal to half the saproling's hit points, and automatically ending the spell. The saproling is automatically consumed when the spell ends. If your concentration is broken, the saproling isn't consumed. Instead, you lose control of the saproling, it becomes hostile toward you and your companions, and it might attack. The DM has the saproling's statistics.
 At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, the saproling is created with an additional 10 temporary hit points for each slot level above 3rd."
Gift of Growth,2,Transmutation,1 bonus action,30 ft,"V, S, M (an acorn and the tooth of a predator)",1 round,"Druid, Ranger",Dominaria,"You ever so slightly subvert the balance of nature, transforming one beast that you can see in range into an apex predator, enhancing their physical abilities. Until the start of your next turn, the target's speed is doubled and its melee weapon attacks deal an additional 2d6 damage. In addition, the target can take one additional action on its next turn.
 Kicker. When you cast this spell using a spell slot of 4th level or higher, the target's speed is instead tripled, its melee weapon attacks deal an additional 5d6 damage, and it can take two additional actions on its next turn."
Goblin Barrage,6,Conjuration,1 action,Self,"V, S, M (a shiny rock or an artifact with at least 1 charge)","Concentration, up to 1 min.","Bard, Druid, Sorcerer, Wizard",Dominaria,"So long as goblins continue to exist, you might as well take advantage of nature's biggest annoyance. Casting this spell causes you to summon 2d4 phantasmal goblins, which go flying through the air as they appear. For each goblin summoned, make a ranged spell attack against a creature within 60 feet, dealing 4d4 force damage for each successful hit. Whether a goblin successfully strikes the target or not, it disappears after the attack is made.
 Kicker. As part of the action used to cast this spell, you can choose to expend all charges from a single magic item that you are holding and attuned to. If you do, the number of goblins that you summon increases to 4d4, and you can choose to attack any number of creatures within 60 feet, using one goblin per attack. This same effect occurs if you are a goblin."
Grow from the Ashes,3,Conjuration,1 action,Touch,"V, S",Instantaneous,"Druid, Ranger",Dominaria,"Through your magic a magnificent creature, taken before its time, is given a second chance. You touch a beast or plant that has been dead for no more than 1 year, that didn't die of old age and isn't undead. The target is resurrected, with 1 hit point and one level of exhaustion. The spell closes all mortal wounds and restores any missing body parts. The spell can also create a new body for the target if the majority of the original no longer exists, though the spell requires at least some part of the body to touch. If a new body is created by the spell, it incorporates all remaining and available pieces of the old body.
 Kicker. When you cast this spell using a spell slot of 5th level or higher, the resurrected creature is instead revived with its maximum number of hit points and without levels of exhaustion."
Haphazard Bombardment,9,Conjuration,1 action,90 ft,"V, S, M (a large rock, weighing at least 10 lbs)",Special,"Druid, Sorcerer",Dominaria,"As you cast this spell, select up to four creatures or objects that you can see within range, marking each of the chosen targets. Each creature targeted by the spell must make a Dexterity saving throw at the start of its turn, as a magically summoned boulder comes hurtling at them from the sku. On a failed saving throw the target takes 10d10 bludgeoning damage and is knocked prone. On a successful save, it takes half as much damage and is not knocked prone. At the start of each of your turns after casting the spell, for as long as the spell's effects continue, each targeted object is struck by a boulder in the same manner, instead taking 20d10 bludgeoning damage. The spell ends if either yourself or at least one target has 0 remaining hit points at the start of your turn."
